"VersionEffective","LOINC_NUM","Property","ValuePrior","ValueCurrent","ChangeReason"
"2.82","102035-3","SHORTNAME","HTN and ATT drug LC/MS/MS","HTN and ATT drug LC/MS/MS Ser Ql LC/MS/MS",""
"2.82","102089-0","FORMULA","n/a","",""
"2.82","102089-0","METHOD_TYP","","{Role}",""
"2.82","102153-4","SHORTNAME","A fumigatus IgE RAST","A fumgtus IgE RAST",""
"2.82","102180-7","COMPONENT","Lactalbumin beta Ab.IgE","Beta lactoglobulin Ab.IgE",""
"2.82","102180-7","LONG_COMMON_NAME","Lactalbumin beta IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST)","Beta lactoglobulin IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST)",""
"2.82","102180-7","SHORTNAME","B-Lactalb IgE RAST","B-Lactoglob IgE RAST",""
"2.82","102181-5","COMMON_TEST_RANK","8790","0",""
"2.82","102181-5","LONG_COMMON_NAME","Beta lactoglobulin IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST)","Deprecated Beta lactoglobulin IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST)",""
"2.82","102181-5","SHORTNAME","B-Lactoglob IgE RAST","Deprecated B-Lactoglob IgE RAST",""
"2.82","102181-5","STATUS","ACTIVE","DEPRECATED",""
"2.82","102861-2","SHORTNAME","A fumigatus IgG RAST","A fumgtus IgG RAST",""
"2.82","102924-8","SHORTNAME","A fumigatus IgG4 RAST","A fumgtus IgG4 RAST",""
"2.82","103027-9","COMPONENT","Cucumis melo spp Ab.IgE","Cucumis melo var. inodorus Ab.IgE",""
"2.82","103027-9","LONG_COMMON_NAME","Honeydew melon IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST)","Honeydew IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST)",""
"2.82","103027-9","SHORTNAME","Melon IgE RAST","Honeydew IgE RAST",""
"2.82","103187-1","SHORTNAME","K pneumon DNA Resp Ql NAA+probe","K pnm DNA Resp Ql NAA+probe",""
"2.82","103199-6","SHORTNAME","T pallidum DNA Ur Ql Probe amp","T palldm DNA Ur Ql Probe amp",""
"2.82","103559-1","SHORTNAME","Rhinovirus RNA Nph Ql NAA+non-probe","Rhinovirus RNA Nph Ql NAA+n-prb",""
"2.82","103598-9","FORMULA","Not applicable","",""
"2.82","103608-6","EXAMPLE_UCUM_UNITS","","ug/mL",""
"2.82","103608-6","EXAMPLE_UNITS","µg/mL","ug/mL",""
"2.82","103608-6","FORMULA","N/A","",""
"2.82","103618-5","FORMULA","N/A","",""
"2.82","103619-3","COMPONENT","Coagulation surface induced.lupus sensitive.buffer (LA control)","Coagulation",""
"2.82","103619-3","METHOD_TYP","Coag","Coag.surface induced.lupus sensitive.buffer (LA control)",""
"2.82","103641-7","SHORTNAME","HHV 6A DNA # SerPl NAA+non-probe","HHV 6A DNA # SerPl NAA+n-prb",""
"2.82","103642-5","SHORTNAME","HHV 6B DNA SerPl NAA+non-probe-aCnc","HHV 6B DNA SerPl NAA+n-prb-aCnc",""
"2.82","103683-9","COMPONENT","Cells.CD3+HLA DR+/Lymphocytes","Cells.CD3+HLA-DR+/Lymphocytes",""
"2.82","103683-9","LONG_COMMON_NAME","Cells.CD3+HLA DR+/Lymphocytes in Bronchoalveolar lavage","CD3+HLA-DR+ cells/Lymphocytes in Bronchoalveolar lavage",""
