"RecType","LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS"
"ADD","106840-2","Guidance for hydrodistention","Find","Pt","Upper extremity.left>Shoulder.glenohumeral joint","Doc","RF","RAD"
"ADD","106846-9","Guidance for injection of nerve root","Find","Pt","Abdomen>Spine.lumbar & Pelvis>Sacrum","Doc","CT","RAD"
"BEFORE","106905-3","Gram negative bacteria","ThreshNum","Pt","Bld.pos growth","Qn","Probe.amp.tar","MICRO"
"CHANGED","106905-3","Gram negative bacteria DNA","ThreshNum","Pt","Bld.pos growth","Qn","Probe.amp.tar","MICRO"
"BEFORE","106930-1","pH","LsCnc","Pt","Urine","SemiQn","pH-metry","CHEM"
"CHANGED","106930-1","pH","LsCnc","Pt","Urine","SemiQn","pH-meter","CHEM"
"ADD","107012-7","Mycobacterium preliminary growth","PrThr","Pt","Plr fld","Ord","Organism specific culture","MICRO"
"ADD","107013-5","Mycobacterium preliminary growth","PrThr","Pt","CSF","Ord","Organism specific culture","MICRO"
"ADD","107014-3","Mycobacterium preliminary growth","PrThr","Pt","XXX","Ord","Organism specific culture","MICRO"
"ADD","107015-0","Mycobacterium preliminary growth","PrThr","Pt","BAL","Ord","Organism specific culture","MICRO"
"ADD","107016-8","Mycobacterium preliminary growth","PrThr","Pt","Bronchoalveolar aspirate","Ord","Organism specific culture","MICRO"
"ADD","107017-6","Colony count","Num","Pt","Sptt","Ord","VC","MICRO"
"ADD","107018-4","Respiratory syncytial virus RNA","PrThr","Pt","BAL","Ord","Non-probe.amp.tar","MICRO"
"ADD","107020-0","Klebsiella pneumoniae DNA","NCncRange","Pt","BAL","SemiQn","Non-probe.amp.tar","MICRO"
"ADD","107021-8","Colony count","Num","Pt","BAL","Ord","VC","MICRO"
"ADD","107031-7","Colony count","Num","Pt","Mouth","Ord","VC","MICRO"
"BEFORE","107157-0","SOX11","PrThr","Pt","Tiss","Ord","Immune stain","MICRO"
"CHANGED","107157-0","SOX11 Ag","PrThr","Pt","Tiss","Ord","Immune stain","MICRO"
"ADD","107163-8","Diameter.transverse","Mass","Pt","Cerebellum^Fetus","Qn","","SPEC"
"ADD","107164-6","Weight","Mass","Pt","Kidney.bilateral","Qn","","BDYWGT.ATOM"
"ADD","107165-3","Thorax circumference","Circ","Pt","Chest","Qn","","BDYWGT.ATOM"
"ADD","107167-9","Observation","PrThr","Pt","Sptt","Ord","Gram stain","MICRO"
"ADD","107168-7","Mycobacterium tuberculosis DNA","PrThr","Pt","Tiss","Ord","Probe.amp.tar","MICRO"
"BEFORE","107189-3","Hemoglobin.gastrointestinal^3rd specimen","MCnc","Pt","Stool","Qn","","HEM/BC"
"CHANGED","107189-3","Hemoglobin^3rd specimen","MCnc","Pt","Stool^Patient.gastrointestinal","Qn","","HEM/BC"
"BEFORE","107190-1","Hemoglobin.gastrointestinal^2nd specimen","MCnc","Pt","Stool","Qn","","HEM/BC"
"CHANGED","107190-1","Hemoglobin^2nd specimen","MCnc","Pt","Stool^Patient.gastrointestinal","Qn","","HEM/BC"
"BEFORE","107191-9","Hemoglobin.gastrointestinal^1st specimen","MCnc","Pt","Stool","Qn","","HEM/BC"
"CHANGED","107191-9","Hemoglobin^1st specimen","MCnc","Pt","Stool^Patient.gastrointestinal","Qn","","HEM/BC"
"BEFORE","107196-8","IgK Tube gene B length in base pairs","Num","Pt","XXX","Qn","Molgen","MOLPATH"
"CHANGED","107196-8","IgK gene Tube B length in base pairs","Num","Pt","XXX","Qn","Molgen","MOLPATH"
"BEFORE","107197-6","IgK Tube A length in base pairs","Num","Pt","XXX","Qn","Molgen","MOLPATH"
"CHANGED","107197-6","IgK gene Tube A length in base pairs","Num","Pt","XXX","Qn","Molgen","MOLPATH"
"BEFORE","107201-6","TCRB Tube gene C length in base pairs","Num","Pt","XXX","Qn","Molgen","MOLPATH.REARRANGE"
"CHANGED","107201-6","TCRB gene Tube C length in base pairs","Num","Pt","XXX","Qn","Molgen","MOLPATH.REARRANGE"
"BEFORE","107202-4","TCRB Tube gene B length in base pairs","Num","Pt","XXX","Qn","Molgen","MOLPATH.REARRANGE"
"CHANGED","107202-4","TCRB gene Tube B length in base pairs","Num","Pt","XXX","Qn","Molgen","MOLPATH.REARRANGE"
"BEFORE","107203-2","TCRB Tube gene A length in base pairs","Num","Pt","XXX","Qn","Molgen","MOLPATH.REARRANGE"
"CHANGED","107203-2","TCRB gene Tube A length in base pairs","Num","Pt","XXX","Qn","Molgen","MOLPATH.REARRANGE"
"BEFORE","107204-0","TCRG Tube gene B length in base pairs","Num","Pt","XXX","Qn","Molgen","MOLPATH.REARRANGE"
"CHANGED","107204-0","TCRG gene Tube B length in base pairs","Num","Pt","XXX","Qn","Molgen","MOLPATH.REARRANGE"
"BEFORE","107205-7","TCRG Tube gene A length in base pairs","Num","Pt","XXX","Qn","Molgen","MOLPATH.REARRANGE"
"CHANGED","107205-7","TCRG gene Tube A length in base pairs","Num","Pt","XXX","Qn","Molgen","MOLPATH.REARRANGE"
"ADD","107206-5","Cerebellum weight","Mass","Pt","Brain","Qn","","BDYWGT.ATOM"
"ADD","107293-3","Guidance for percutaneous nephrolithotomy","Find","Pt","Abdomen>Kidney","Doc","RF","RAD"
"BEFORE","107332-9","Goal attainment scale","-","Pt","^Patient","-","Reported","PANEL.CLIN.RISK"
"CHANGED","107332-9","Goal attainment scale GAS follow-up assessment","-","Pt","^Patient","-","Reported","PANEL.CLIN.RISK"
"BEFORE","107366-7","Human metapneumovirus","PrThr","Pt","Sputum","Ord","Non-probe.amp.tar","MICRO"
"CHANGED","107366-7","Human metapneumovirus RNA","PrThr","Pt","Sputum","Ord","Non-probe.amp.tar","MICRO"
"BEFORE","107367-5","Human metapneumovirus","PrThr","Pt","BAL","Ord","Non-probe.amp.tar","MICRO"
"CHANGED","107367-5","Human metapneumovirus RNA","PrThr","Pt","BAL","Ord","Non-probe.amp.tar","MICRO"
"ADD","107373-3","Guidance for percutaneous embolization^W contrast","Find","Pt","Head>Cerebral vessels","Doc","RF","RAD"
"ADD","107374-1","Guidance for percutaneous embolization coil for repair of aneurysm","Find","Pt","Head>Cerebral vessels","Doc","RF","RAD"
"ADD","107375-8","Guidance for embolization","Find","Pt","Head>Cerebral vessels","Doc","RF","RAD"
"ADD","107376-6","Human coronavirus 229E+HKU1+OC43 RNA","PrThr","Pt","Bronchoalveolar aspirate","Ord","Non-probe.amp.tar","MICRO"
"ADD","107404-6","Guidance for percutaneous thrombolytic","Find","Pt","Chest>Vena cava.superior","Doc","RF","RAD"
